,uid,first_name,last_name,email,role1,role2,role3
97,,Jacqueline,Shaw,fhtm@roundsqr.com,2020 Im data speaker,,
98,,Samantha,Phillips,ibqf@virtualitics.com,2020 Im data speaker,,
99,,Laura,Scott,lvcl@open-insights.com,2020 Im data speaker,,
100,,Kayla,Pena,wdvg@unscrambl.ai,2020 Im data speaker,,
101,2151.0,Tim,Howard,onvu@apu.edu,2020 Im data speaker,,
102,1617.0,Angela,Mclaughlin,ubvm@kaleidolearning.com,2020 Im data speaker,,
103,3263.0,Rachael,Meyer,yhgt@mymedipocket.com,2020 Im data speaker,,
104,2812.0,Susan,Thompson,vjie@jpl.nasa.gov,2020 Im data speaker,,
105,,Jeffrey,Payne,qbbw@atoken.org,2020 Im data speaker,,
106,2106.0,Amber,Lindsey,rctb@lacity.org,2020 Im data speaker,,
107,3449.0,Eric,Andrews,nvxm@gramener.com,2020 Im data speaker,,
108,,Noah,Evans,xhra@drexel.edu,2020 Im data speaker,,
109,3477.0,Kevin,Wong,zjur@dqlabs.ai,2020 Im data speaker,,
110,1891.0,Stephanie,Martinez,xquq@qdoba.com,2020 Im data speaker,,
111,,Kristy,Rodriguez,klof@sv.cmu.edu,2020 Im data speaker,,
112,,Ronald,Kane,rqgo@thinkiq.com,2020 Im data speaker,,
113,3347.0,Sergio,Ortega,oknu@polyture.com,2020 Im data speaker,,
114,3260.0,Tanner,Smith,qurm@cesmii.org,2020 Im data speaker,,
115,,Jason,Frost,icas@uci.edu,2020 Im data speaker,,
116,,Kayla,Hernandez,auzc@narrativewave.com ,2020 Im data speaker,,
117,2751.0,Clarence,Henry,edhu@gmail.com,2020 Preconference training instructor,2021 Preconference training instructor,
118,2874.0,Sue,Villanueva,txrz@gmail.com,2020 Preconference training instructor,2021 Preconference training instructor,
119,9660.0,Austin,Mcintosh,eowk@knime.com,2021 Preconference training instructor,,
120,,Ryan,Ryan,csux@ibm.com,2020 Im data speaker,,
121,9650.0,Tracey,Gutierrez,lkjg@opening-data.com,2021 Preconference training instructor,,
122,9324.0,Robert,White,jegz@foxmail.com,2021 Q2 Competition mentor,,
123,9405.0,Michael,Brown,lwre@126.com,2021 Q2 Competition mentor,,
124,9407.0,Victoria,Thompson,zrhn@aliyun.com,2021 Q2 Competition mentor,,
125,,Pamela,Hill,veum@fudan.edu.cn,2021 Q2 Competition mentor,,
126,,Rhonda,Chen,mcbx@qq.com,2021 Q2 Competition mentor,,
127,6285.0,Samantha,Meza,qaqa@gmail.com,2021 Q2 Competition mentor,,
128,9262.0,Michelle,Avery,xrct@gmail.com,2021 Q2 Competition mentor,,
129,,Connor,Davies,oofu@gmail.com,2021 Q2 Competition mentor,,
130,9297.0,Derrick,Miller,atva@gmail.com,2021 Q2 Competition mentor,,
131,7041.0,Ann,Hill,jnzb@gmail.com,2021 Q2 Competition mentor,,
132,,Thomas,Beck,vlun@gmail.com,2021 Q2 Competition mentor,,
133,9321.0,Antonio,Miller,caxy@open-source.community,2021 Q2 Competition mentor,,
134,,Lydia,Wright,ywru@del.ac.id,2021 Q2 Competition mentor,,
135,9365.0,Michael,Gonzalez,dfki@gmail.com,2021 Q2 Competition mentor,,
136,6309.0,John,Curry,zdjf@gmail.com,2021 Q2 Competition mentor,,
137,9363.0,Brittany,Miles,ohhq@gmail.com,2021 Q2 Competition mentor,,
138,,Jose,Williams,hppf@gmail.com,2021 Q2 Competition mentor,,
139,6820.0,Brenda,Vazquez,ewkw@gmail.com,2021 Q2 Competition mentor,,
140,1870.0,Carlos,Fox,hose@gmail.com,2021 Q2 Competition mentor,,
141,,Rebecca,Peterson,rxol@giz.de,2021 Q2 Competition mentor,,
142,9403.0,Andrew,Williams,kfre@gmail.com,2021 Q2 Competition mentor,,
143,9455.0,Billy,Henderson,lbnc@gmail.com,2021 Q2 Competition mentor,,
144,,Luis,Miller,anpe@appstate.edu,2021 Q2 Competition mentor,,
145,,Amber,Schroeder,vpvh@uga.edu,2021 Q2 Competition mentor,,
146,9584.0,Mindy,Choi,irhp@marian.edu,2021 Q2 Competition mentor,,
147,,Cynthia,Lee,jcxd@nus.edu.sg,2021 Q1 Competition mentor,,
148,,Thomas,Salas,osiq@hotmail.com,2021 Q1 Competition mentor,,
149,,Daniel,Harris,qgqj@gmail.com,2021 Q1 Competition mentor,,
150,5574.0,Christopher,Oconnor,qvei@gmail.com,2021 Q1 Competition mentor,,
151,,James,Vargas,gwcd@gmail.com,2021 Q1 Competition mentor,,
152,,Diana,Harrison,vkjw@ucf.edu,2021 Q1 Competition mentor,,
153,5509.0,Lisa,Griffith,pbvr@Woodbury.edu,2021 Q1 Competition mentor,,
154,,Natasha,Roberts,kdii@ou.edu,2021 Q1 Competition mentor,,
155,,Timothy,Stanley,cfht@usc.edu,2021 Q1 Competition mentor,,
156,6124.0,Candice,Lee,rtjw@hotmail.com,2021 Q1 Competition mentor,,
157,6149.0,Alex,Berry,pntd@gmail.com,2021 Q1 Competition mentor,,
158,,Daryl,Fischer,eznu@usc.edu,2021 Q1 Competition mentor,,
159,,Christopher,White,aykf@itats.ac.id,2021 Q1 Competition mentor,,
160,,Seth,Griffin,lncf@gmail.com,2021 Q1 Competition mentor,,
161,6252.0,Joseph,Bender,anrd@yahoo.com,2021 Q1 Competition mentor,,
162,,Tyler,Moreno,wwfq@swin.edu.au,2021 Q1 Competition mentor,,
163,7879.0,Melinda,Ramirez,ndwg@okstate.edu,2021 Q1 Competition mentor,,
164,,Catherine,Stephens,kotp@gmail.com,2021 Q1 Competition mentor,,
165,6311.0,Michelle,Martinez,qzdo@gmail.com,2021 Q1 Competition mentor,,
166,,Andrew,Smith,aaer@gmail.com,2021 Q1 Competition mentor,,
167,6364.0,Victor,Clark,ywtk@gmail.com,2021 Q1 Competition mentor,,
168,,Richard,Murphy,zick@gmail.com,2021 Q1 Competition mentor,,
169,,William,Burns,hjfj@apps.ipb.ac.id,2021 Q1 Competition mentor,,
170,,Anthony,Nguyen,alaq@gmail.com,2021 Q1 Competition mentor,,
171,,Christina,Meadows,dxgi@gmail.com,2021 Q1 Competition mentor,,
172,7879.0,Terri,Anderson,ndwg@okstate.edu,2021 Q1 Competition mentor,,
173,,Brandon,Smith,vsnw@drexel.edu,2021 Q1 Competition mentor,,
174,,Hector,Tate,igwi@staff.ubaya.ac.id,2021 Q1 Competition mentor,,
175,,Jennifer,Wright,hyhi@gmail.com,2021 Q1 Competition mentor,,
176,,Darren,Newton,jxns@narotama.ac.id,2021 Q1 Competition mentor,,
177,7879.0,Monica,Fernandez,ndwg@okstate.edu,2021 Q1 Competition mentor,,
178,,Travis,Watkins,amuf@gmail.com,2021 Q1 Competition mentor,,
179,,Wendy,Pruitt,rups@gmail.com,2021 Q1 Competition mentor,,
180,6479.0,Cindy,Pollard,imtx@gmail.com,2021 Q1 Competition mentor,,
181,,Brian,Carey,soaa@gmail.com,2021 Q1 Competition mentor,,
